x,y,gender,,,,,,,,,,,,,,,,,,,,,,,,,
149,38.32857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
150,38.34785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
151,38.34,Female,,,,,,,,,,,,,,,,,,,,,,,,,
152,38.355,Female,,,,,,,,,,,,,,,,,,,,,,,,,
153,38.36214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
154,38.34428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
155,38.335,Female,,,,,,,,,,,,,,,,,,,,,,,,,
156,38.33,Female,,,,,,,,,,,,,,,,,,,,,,,,,
157,38.30928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
158,38.30071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
159,38.31928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
160,38.32785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
161,38.32642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
162,38.32928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
163,38.325,Female,,,,,,,,,,,,,,,,,,,,,,,,,
164,38.32857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
165,38.33142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
166,38.30285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
167,38.27785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
168,38.27,Female,,,,,,,,,,,,,,,,,,,,,,,,,
169,38.26571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
170,38.27,Female,,,,,,,,,,,,,,,,,,,,,,,,,
171,38.28928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
172,38.30285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
173,38.32714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
174,38.34285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
175,38.34785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
176,38.34857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
177,38.315,Female,,,,,,,,,,,,,,,,,,,,,,,,,
178,38.27142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
179,38.27142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
180,38.26142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
181,38.235,Female,,,,,,,,,,,,,,,,,,,,,,,,,
182,38.23,Female,,,,,,,,,,,,,,,,,,,,,,,,,
183,38.22571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
184,38.24714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
185,38.25,Female,,,,,,,,,,,,,,,,,,,,,,,,,
186,38.24142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
187,38.25928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
188,38.275,Female,,,,,,,,,,,,,,,,,,,,,,,,,
189,38.27857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
190,38.27071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
191,38.28357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
192,38.295,Female,,,,,,,,,,,,,,,,,,,,,,,,,
193,38.27071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
194,38.24357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
195,38.19357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
196,38.16357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
197,38.15428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
198,38.16714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
199,38.21785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
200,38.24928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
201,38.25571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
202,38.24571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
203,38.22214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
204,38.215,Female,,,,,,,,,,,,,,,,,,,,,,,,,
205,38.23357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
206,38.25142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
207,38.23285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
208,38.21142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
209,38.17857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
210,38.18357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
211,38.22071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
212,38.22,Female,,,,,,,,,,,,,,,,,,,,,,,,,
213,38.21142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
214,38.22,Female,,,,,,,,,,,,,,,,,,,,,,,,,
215,38.22357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
216,38.2,Female,,,,,,,,,,,,,,,,,,,,,,,,,
217,38.17357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
218,38.14571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
219,38.13857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
220,38.16,Female,,,,,,,,,,,,,,,,,,,,,,,,,
221,38.17928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
222,38.18,Female,,,,,,,,,,,,,,,,,,,,,,,,,
223,38.18571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
224,38.215,Female,,,,,,,,,,,,,,,,,,,,,,,,,
225,38.23571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
226,38.21928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
227,38.18285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
228,38.17142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
229,38.16857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
230,38.15,Female,,,,,,,,,,,,,,,,,,,,,,,,,
231,38.12214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
232,38.11,Female,,,,,,,,,,,,,,,,,,,,,,,,,
233,38.10928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
234,38.10571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
235,38.10071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
236,38.10428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
237,38.11,Female,,,,,,,,,,,,,,,,,,,,,,,,,
238,38.11928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
239,38.15,Female,,,,,,,,,,,,,,,,,,,,,,,,,
240,38.15857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
241,38.11571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
242,38.09285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
243,38.07714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
244,38.09714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
245,38.11142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
246,38.08857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
247,38.04142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
248,38.02428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
249,38.01928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
250,38.02714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
251,38.03142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
252,38.05357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
253,38.08357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
254,38.09571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
255,38.09,Female,,,,,,,,,,,,,,,,,,,,,,,,,
256,38.10285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
257,38.11714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
258,38.11357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
259,38.12785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
260,38.14214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
261,38.13357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
262,38.10357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
263,38.09214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
264,38.07928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
265,38.06571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
266,38.03642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
267,38.01,Female,,,,,,,,,,,,,,,,,,,,,,,,,
268,38.02,Female,,,,,,,,,,,,,,,,,,,,,,,,,
269,38.03,Female,,,,,,,,,,,,,,,,,,,,,,,,,
270,38.04214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
271,38.06285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
272,38.06142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
273,38.05071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
274,38.04714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
275,38.04,Female,,,,,,,,,,,,,,,,,,,,,,,,,
276,38.055,Female,,,,,,,,,,,,,,,,,,,,,,,,,
277,38.06785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
278,38.08,Female,,,,,,,,,,,,,,,,,,,,,,,,,
279,38.10142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
280,38.11357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
281,38.12142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
282,38.11,Female,,,,,,,,,,,,,,,,,,,,,,,,,
283,38.08428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
284,38.07857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
285,38.07857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
286,38.07928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
287,38.07714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
288,38.05214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
289,38.03285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
290,38.04,Female,,,,,,,,,,,,,,,,,,,,,,,,,
291,38.03428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
292,38.01357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
293,37.98785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
294,37.97071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
295,37.96714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
296,37.95,Female,,,,,,,,,,,,,,,,,,,,,,,,,
297,37.97928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
298,37.99785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
299,37.99,Female,,,,,,,,,,,,,,,,,,,,,,,,,
300,37.99785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
301,37.97571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
302,37.93,Female,,,,,,,,,,,,,,,,,,,,,,,,,
303,37.89071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
304,37.84285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
305,37.83,Female,,,,,,,,,,,,,,,,,,,,,,,,,
306,37.84142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
307,37.86428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
308,37.87,Female,,,,,,,,,,,,,,,,,,,,,,,,,
309,37.85285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
310,37.83142857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
311,37.83214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
312,37.86642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
313,37.86928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
314,37.85571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
315,37.84357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
316,37.83428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
